sample_id,image_name,true_algo,is_stego,path,p_WOW,tau_WOW,tau_fpr10_WOW,range_low_WOW,range_high_WOW,margin_WOW,inside_range_WOW,p_S-UNIWARD,tau_S-UNIWARD,tau_fpr10_S-UNIWARD,range_low_S-UNIWARD,range_high_S-UNIWARD,margin_S-UNIWARD,inside_range_S-UNIWARD,p_HILL,tau_HILL,tau_fpr10_HILL,range_low_HILL,range_high_HILL,margin_HILL,inside_range_HILL,p_HUGO,tau_HUGO,tau_fpr10_HUGO,range_low_HUGO,range_high_HUGO,margin_HUGO,inside_range_HUGO,p_MiPOD,tau_MiPOD,tau_fpr10_MiPOD,range_low_MiPOD,range_high_MiPOD,margin_MiPOD,inside_range_MiPOD,pred_algo,decision,top1_algo,top2_algo,top1_score,top2_score,top1_top2_margin,num_activated_templates,activated_templates
COVER__52.pgm,52.pgm,COVER,0,${BOSSBASE_ROOT}\cover\52.pgm,0.009268013380914325,0.491455078125,0.51220703125,0.491455078125,0.51220703125,-0.4821870647440857,0,0.013584392513059033,0.50537109375,0.5322265625,0.50537109375,0.5322265625,-0.49178670123694096,0,0.010013570623173138,0.50048828125,0.548828125,0.50048828125,0.548828125,-0.49047471062682685,0,0.011419614645648401,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.5164124166043516,0,0.009376237450848677,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.4828112625491513,0,UNKNOWN,UNKNOWN_OR_COVER,WOW,MiPOD,-0.45131548717978986,-0.4519589489429244,0.0006434617631345119,0,
COVER__7548.pgm,7548.pgm,COVER,0,${BOSSBASE_ROOT}\cover\7548.pgm,0.01128807389923099,0.491455078125,0.51220703125,0.491455078125,0.51220703125,-0.480167004225769,0,0.010408314101072437,0.50537109375,0.5322265625,0.50537109375,0.5322265625,-0.49496277964892754,0,0.010368156650788152,0.50048828125,0.548828125,0.50048828125,0.548828125,-0.49012012459921184,0,0.009090383313658499,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.5187416479363415,0,0.008711384457705508,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.48347611554229447,0,UNKNOWN,UNKNOWN_OR_COVER,WOW,MiPOD,-0.44923300117609627,-0.45264430737180855,0.0034113061957122826,0,
COVER__450.pgm,450.pgm,COVER,0,${BOSSBASE_ROOT}\cover\450.pgm,0.5159857608291253,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.024530682704125284,0,0.5091313698625539,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.0037602761125539175,1,0.5065570886611804,0.50048828125,0.548828125,0.50048828125,0.548828125,0.006068807411180432,1,0.5232224162319983,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.004609615018001723,0,0.5140572686144013,0.4921875,0.62451171875,0.4921875,0.62451171875,0.021869768614401264,1,WOW|MiPOD,AMBIGUOUS,WOW,MiPOD,0.07434210274589331,0.07186976861440127,0.002472334131492046,4,"WOW,S-UNIWARD,HILL,MiPOD"
COVER__637.pgm,637.pgm,COVER,0,${BOSSBASE_ROOT}\cover\637.pgm,0.35644665867004166,0.491455078125,0.51220703125,0.491455078125,0.51220703125,-0.13500841945495834,0,0.23144047331530365,0.50537109375,0.5322265625,0.50537109375,0.5322265625,-0.27393062043469635,0,0.5974904630158353,0.50048828125,0.548828125,0.50048828125,0.548828125,0.0970021817658353,0,0.10521053670308635,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.42262149454691367,0,0.5866412601032307,0.4921875,0.62451171875,0.4921875,0.62451171875,0.0944537601032307,1,HILL|MiPOD,AMBIGUOUS,HILL,MiPOD,0.1446273167336309,0.1444537601032307,0.0001735566304002234,2,"HILL,MiPOD"
COVER__7056.pgm,7056.pgm,COVER,0,${BOSSBASE_ROOT}\cover\7056.pgm,0.010091315485195006,0.491455078125,0.51220703125,0.491455078125,0.51220703125,-0.481363762639805,0,0.08882029240011771,0.50537109375,0.5322265625,0.50537109375,0.5322265625,-0.4165508013498823,0,0.007260866498285615,0.50048828125,0.548828125,0.50048828125,0.548828125,-0.4932274147517144,0,0.008985428752560176,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.5188466024974399,0,0.010489091259938018,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.481698408740062,0,UNKNOWN,UNKNOWN_OR_COVER,S-UNIWARD,WOW,-0.38358495046237495,-0.4504667579750817,0.06688180751270673,0,
COVER__9661.pgm,9661.pgm,COVER,0,${BOSSBASE_ROOT}\cover\9661.pgm,0.01028830113371619,0.491455078125,0.51220703125,0.491455078125,0.51220703125,-0.4811667769912838,0,0.014227046103179024,0.50537109375,0.5322265625,0.50537109375,0.5322265625,-0.49114404764682096,0,0.007176881945656949,0.50048828125,0.548828125,0.50048828125,0.548828125,-0.49331139930434303,0,0.008219693061967886,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.5196123381880321,0,0.008093289897373068,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.48409421010262693,0,UNKNOWN,UNKNOWN_OR_COVER,WOW,MiPOD,-0.4502636854605663,-0.453281453016764,0.0030177675561977035,0,
COVER__7451.pgm,7451.pgm,COVER,0,${BOSSBASE_ROOT}\cover\7451.pgm,0.00912563738918052,0.491455078125,0.51220703125,0.491455078125,0.51220703125,-0.48232944073581946,0,0.009303949868393646,0.50537109375,0.5322265625,0.50537109375,0.5322265625,-0.49606714388160633,0,0.007204769088868756,0.50048828125,0.548828125,0.50048828125,0.548828125,-0.49328351216113125,0,0.008677716704989246,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.5191543145450107,0,0.004645557549716042,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.487541942450284,0,UNKNOWN,UNKNOWN_OR_COVER,WOW,MiPOD,-0.45146225823011293,-0.45683523658059094,0.005372978350478008,0,
COVER__3439.pgm,3439.pgm,COVER,0,${BOSSBASE_ROOT}\cover\3439.pgm,0.5062862898382244,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.014831211713224435,1,0.5039443151507156,0.50537109375,0.5322265625,0.50537109375,0.5322265625,-0.0014267785992844173,0,0.49808693865660975,0.50048828125,0.548828125,0.50048828125,0.548828125,-0.0024013425933902544,0,0.5030593490270622,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.024772682222937825,0,0.5112514571810676,0.4921875,0.62451171875,0.4921875,0.62451171875,0.01906395718106757,1,MiPOD|WOW,AMBIGUOUS,MiPOD,WOW,0.06906395718106757,0.06483121171322444,0.004232745467843135,2,"WOW,MiPOD"
COVER__3664.pgm,3664.pgm,COVER,0,${BOSSBASE_ROOT}\cover\3664.pgm,0.014785407692390527,0.491455078125,0.51220703125,0.491455078125,0.51220703125,-0.4766696704326095,0,0.12442563335989186,0.50537109375,0.5322265625,0.50537109375,0.5322265625,-0.3809454603901081,0,0.12896329929010264,0.50048828125,0.548828125,0.50048828125,0.548828125,-0.37152498195989736,0,0.5198260252465047,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.008006006003495325,0,0.42841274065511853,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.06377475934488147,0,HUGO,ATTRIBUTED,HUGO,MiPOD,0.04159529183189492,-0.01686394433552227,0.05845923616741719,0,
COVER__3390.pgm,3390.pgm,COVER,0,${BOSSBASE_ROOT}\cover\3390.pgm,0.5336708866897778,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.0422158085647778,0,0.40874869317441304,0.50537109375,0.5322265625,0.50537109375,0.5322265625,-0.09662240057558696,0,0.5581463728858037,0.50048828125,0.548828125,0.50048828125,0.548828125,0.05765809163580371,0,0.6520198770383038,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.12418784578830377,0,0.6160122621434994,0.4921875,0.62451171875,0.4921875,0.62451171875,0.12382476214349936,1,MiPOD|HUGO,AMBIGUOUS,MiPOD,HUGO,0.17382476214349935,0.1692635310710125,0.004561231072486849,4,"WOW,HILL,HUGO,MiPOD"
